pl_name,hostname,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_orbeccen,pl_eqt,pl_insol,pl_orbsmax,pl_orbper,st_spectype,st_teff,st_rad,st_mass,discoverymethod,disc_year,disc_facility,sy_dist,pl_type
HD 59686 A b,HD 59686 A,12.7,1.13,2199.3836,6.92,0.05,,,1.086,299.36,K2 III,4658.0,13.2,1.9,Radial Velocity,2016.0,Lick Observatory,89.2721,Gas Giant
HD 60292 b,HD 60292,12.7,1.13,2065.895,6.5,0.27,,,1.5,495.4,K0 III,4348.0,27.0,1.7,Radial Velocity,2020.0,Bohyunsan Optical Astronomical Observatory,315.211,Gas Giant
HD 60532 b,HD 60532,13.8,1.23,336.8998,1.06,0.26,,,0.77,201.9,F6 IV,6245.0,2.57,1.5,Radial Velocity,2008.0,La Silla Observatory,25.9716,Gas Giant
HD 60532 c,HD 60532,13.3,1.18,797.7533,2.51,0.03,,,1.6,600.1,F6 IV,6245.0,2.57,1.5,Radial Velocity,2008.0,La Silla Observatory,25.9716,Gas Giant
HD 6061 b,HD 6061,2.42763557,0.21657951,10.0,0.03146352,0.0,1075.31,339.1,0.06,5.2549,,5934.0,1.0072,1.0269,Transit,2023.0,Transiting Exoplanet Survey Satellite (TESS),67.6203,Super-Earth
HD 62364 b,HD 62364,12.1,1.08,5965.63919939,18.77,0.607,,0.072,6.15,5138.0,F7 V,6255.0,1.401,1.157,Radial Velocity,2022.0,Multiple Observatories,53.112,Gas Giant
HD 62364 c,HD 62364,12.0,1.07,7923.46218651,24.93,0.773,,,36.984,74839.94555,F7 V,6255.0,1.401,1.19,Radial Velocity,2022.0,Multiple Observatories,53.112,Gas Giant
HD 62509 b,HD 62509,13.3,1.19,731.0,2.3,0.02,,,1.64,589.64,K0IIIvar,4892.63,8.9,2.0,Radial Velocity,2006.0,Multiple Observatories,10.34,Gas Giant
HD 62549 b,HD 62549,12.6,1.12,2707.58019923,8.519,0.15,,,11.842,14306.88519,,5930.46,1.23227,1.08,Radial Velocity,2022.0,Multiple Observatories,49.3305,Gas Giant
HD 63433 b,HD 63433,2.14,0.191,21.755,0.06844888,0.24,967.11,145.5707,0.072,7.1079475,G5 V,5553.0,0.934,0.956,Transit,2020.0,Transiting Exoplanet Survey Satellite (TESS),22.4035,Super-Earth
